Arbre	tronc
32,45,27	24,26,12
17,25,12	18,22,7
19,27,14	24,30,16
21,34,17	30,32,18
18,26,15	28,32,17
17,25,14	25,31,17
14,25,11	35,38,21
15,22,14	36,40,25
14,21,13	31,39,24
86,105,59	37,32,28
86,106,57	37,32,26
72,90,42	38,34,25
60,80,31	38,33,29
61,81,30	39,34,28
54,72,22	40,35,29
55,73,25	39,34,30
58,76,28	39,34,28
54,70,23	40,35,29
94,111,69
84,99,58
84,96,56
87,102,63
73,88,49
85,97,59
75,90,51
76,91,52
82,94,56
71,77,39
71,77,41
48,55,21
76,82,44
69,75,39
58,64,30
76,80,43
74,78,43
62,68,34
60,74,48
52,66,40
27,41,15
60,73,45
50,63,35
21,34,6
51,64,38
43,56,28
15,28,2
59,77,29
37,55,7
71,87,40
72,89,37
68,85,33
58,72,23
88,102,49
70,84,33
60,72,22
163,127,79
87,51,1
89,53,1
151,118,73
128,96,49
89,57,8
140,113,70
119,90,46
144,118,69
73,69,40
63,58,29
93,88,59
49,45,18
61,55,29
81,77,48
61,60,32
69,65,38
77,73,44
39,62,16
79,102,56
34,57,13
49,75,30
71,96,54
26,51,11
48,73,33
69,94,55
59,81,43
11,37,50
43,72,80
11,38,47
35,63,75
60,90,100
28,57,65
0,26,40
5,35,46
31,61,71
113,124,94
125,134,105
132,140,119
95,110,81
113,124,94
121,131,104
121,140,118
101,117,90
107,126,96
142,148,112
134,141,100
193,198,157
137,143,105
191,196,156
180,187,145
173,181,142
158,165,124
152,159,117
159,162,119
156,157,117
155,156,116
145,150,109
157,159,122
160,162,125
158,162,125
151,156,126
137,140,113
183,185,138
131,133,84
201,201,149
185,184,138
160,159,113
149,149,99
147,146,102
144,147,104
139,146,104
12,24,14
19,27,29
21,33,21
7,17,9
18,24,24
18,28,20
8,12,11
8,12,11
16,20,19
48,62,3
139,158,94
87,94,87
168,186,104
122,140,56
0,11,0
161,183,75
95,99,76
106,121,54
89,121,45
90,122,37
106,135,51
95,113,73
132,155,73
132,154,79
43,72,0
84,115,22
82,103,62
52,68,23
85,97,73
84,106,21
82,99,45
85,95,84
103,119,74
14,26,6
25,34,17
48,59,45
69,94,26
68,93,27
58,75,41
137,163,74
172,201,91
61,86,0
122,142,73
132,152,67
142,159,89
21,33,19
20,32,18
25,39,24
17,28,20
11,23,13
17,29,19
17,28,20
18,28,19
30,40,29
63,76,32
94,108,55
96,104,83
132,149,97
164,193,77
30,37,21
19,25,49
23,42,0
0,1,0
98,118,91
88,108,81
46,66,41
74,94,67
70,90,63
29,49,22
40,60,33
37,57,30
22,42,15
71,93,57
118,140,102
37,59,23
156,177,144
113,135,99
4,25,0
126,147,116
35,56,23
76,97,66
71,93,57
118,140,102
37,59,23
156,177,144
113,135,99
4,25,0
126,147,116
35,56,23
76,97,66
118,140,104
100,122,86
68,90,52
18,39,6
66,87,54
83,105,67
82,102,74
10,31,0
97,119,83
104,123,95
90,109,79
89,108,78
113,131,105
96,115,87
80,99,71
113,131,107
101,119,93
74,92,66
95,122,67
87,114,59
95,122,67
94,122,64
86,114,56
96,124,66
105,135,73
97,127,67
105,135,75
163,187,125
150,175,117
120,145,88
191,216,150
193,219,156
161,187,126
180,205,139
186,213,146
185,211,146
64,77,60
72,86,71
87,101,88
57,70,53
71,85,70
90,104,91
56,67,51
67,79,65
82,96,83
61,71,60
65,75,64
69,80,66
62,72,63
62,72,63
63,73,62
66,76,68
62,72,63
58,68,59
116,145,53
122,151,59
111,140,47
125,154,62
127,156,64
105,134,41
119,148,56
115,144,52
108,137,44
32,33,25
29,31,20
30,32,21
31,32,24
29,31,20
31,33,22
29,30,22
32,34,23
33,35,24
93,123,25
110,140,42
124,151,58
121,151,55
126,156,60
128,155,62
126,155,62
123,154,60
119,148,56
9,20,12
1,12,4
1,11,3
0,9,4
0,3,0
0,5,1
0,9,6
0,3,0
0,2,0
26,29,12
28,31,12
30,33,16
29,32,15
30,33,14
30,33,16
38,41,24
36,39,20
33,36,19
73,109,61
103,140,97
83,116,73
64,100,54
49,88,43
54,94,44
56,93,41
37,75,28
66,105,58
121,122,90
60,33,12
66,52,15
48,38,11
78,54,30
168,153,112
116,95,68
67,46,15
154,136,100
84,121,77
87,124,80
65,102,59
91,127,83
92,127,85
62,97,55
96,129,86
117,149,108
100,135,93
50,87,53
68,100,51
68,100,51
64,99,43
60,92,45
62,94,45
122,155,98
80,112,65
67,99,52
175,218,162
179,223,164
122,163,105
93,136,80
94,138,79
139,180,122
81,124,68
86,130,71
97,138,78
176,212,140
163,199,127
140,176,106
168,204,132
193,229,157
118,154,84
176,212,140
196,232,160
143,179,109
188,220,157
164,196,131
187,219,154
156,186,122
143,173,109
193,223,159
147,178,111
140,171,104
215,245,181
179,178,130
197,197,147
223,223,171
216,214,165
214,212,161
214,213,157
215,214,166
203,203,149
202,203,145
179,178,130
197,197,147
223,223,171
216,214,165
214,212,161
214,213,157
215,214,166
203,203,149
202,203,145
75,86,78
79,90,82
84,96,86
79,88,83
82,92,84
76,88,78
74,84,76
68,78,70
58,70,58
75,116,54
94,135,71
102,144,75
59,100,40
88,132,67
86,133,63
64,100,49
85,123,66
64,105,47
53,74,55
55,71,60
10,29,11
35,58,35
55,71,57
18,36,19
44,67,43
28,45,28
29,46,34
