background
155,165,104
158,168,107
161,171,110
175,181,121
175,181,121
175,181,121
174,178,119
173,177,116
171,175,114
116,145,61
118,150,65
117,150,63
131,159,75
130,160,74
131,161,75
144,172,87
138,166,81
137,165,80
54,71,52
48,65,48
49,69,50
57,67,56
51,62,51
51,64,52
49,57,48
48,56,49
43,52,46
27,47,34
31,45,32
39,47,34
28,46,33
36,48,41
44,50,50
37,50,41
41,52,45
47,56,52
99,120,113
86,111,105
88,120,109
92,113,108
83,108,104
96,126,118
109,128,126
111,133,131
92,121,116
99,120,113
86,111,105
88,120,109
92,113,108
83,108,104
96,126,118
109,128,126
111,133,131
92,121,116
214,212,101
241,239,128
253,250,143
244,241,136
240,237,130
249,247,144
250,247,150
223,220,123
207,207,109
122,147,152
124,149,156
127,152,159
136,160,162
110,135,139
115,140,144
121,146,143
104,130,129
113,139,138
174,117,126
207,140,147
199,128,132
158,97,104
169,104,108
193,129,130
156,91,95
156,96,98
154,96,95
108,81,60
146,116,92
157,126,98
81,54,37
113,82,61
161,129,104
72,43,29
89,58,38
124,94,70
185,213,224
136,166,176
130,160,170
164,192,203
160,190,198
127,157,165
112,142,152
125,155,163
110,143,148
148,162,171
134,151,159
103,120,128
133,147,156
146,160,169
140,154,163
141,154,162
147,160,168
148,161,169
218,226,169
155,169,108
71,92,27
136,150,99
145,164,109
89,113,55
78,105,60
122,149,104
127,156,108
174,194,143
153,172,116
123,143,80
179,199,146
172,194,132
158,179,114
129,153,93
134,156,92
146,168,103
156,137,105
169,156,121
167,154,122
177,156,125
177,154,122
175,151,123
165,142,111
162,133,103
182,152,126
174,158,133
172,155,129
156,139,113
216,204,180
155,137,113
147,129,105
162,155,129
165,147,123
161,143,119
181,173,124
199,184,125
199,187,129
187,180,125
187,179,116
195,187,124
205,201,140
174,173,108
184,183,119
203,220,184
175,196,157
174,195,154
205,223,185
206,227,186
188,209,168
163,181,141
212,233,192
197,218,175
173,170,117
167,164,113
173,169,122
183,181,132
177,174,129
179,174,132
193,192,144
195,192,151
197,193,155
81,118,75
82,118,80
92,126,93
87,126,82
81,118,77
88,124,88
91,130,83
88,127,83
92,128,92
187,124,71
179,113,61
176,109,56
205,144,87
190,128,71
187,122,66
218,160,97
199,139,77
195,134,71
181,155,96
162,136,75
164,135,75
147,121,62
135,109,50
132,106,47
118,92,33
116,90,31
117,91,32
230,212,102
229,208,101
221,203,93
209,192,86
208,189,86
204,187,81
187,172,71
188,170,70
187,172,69
254,212,126
252,212,124
250,210,122
238,199,106
255,219,125
240,207,112
238,202,105
243,209,111
214,185,85
198,233,89
191,229,84
205,242,100
208,243,99
207,245,100
215,253,108
213,251,106
216,254,109
218,255,111
205,224,230
200,219,225
198,217,223
199,218,224
193,212,218
193,212,218
198,215,222
190,209,215
191,210,216
170,172,169
160,166,162
166,175,170
165,167,164
157,164,157
164,174,166
173,175,170
168,175,168
168,178,170
226,241,158
229,242,162
236,251,168
224,237,157
230,241,163
240,253,173
221,232,154
232,240,163
239,250,172
174,192,118
171,192,117
170,191,116
167,184,113
169,189,117
172,192,120
160,177,106
162,182,110
166,186,114
172,159,104
180,167,112
187,172,117
198,183,128
184,169,114
180,163,109
185,172,117
182,167,112
185,170,115
95,67,43
116,88,64
109,81,57
66,40,15
133,107,82
140,114,89
128,102,77
119,93,68
115,89,64
167,179,113
148,158,97
95,103,44
159,174,107
126,138,74
96,104,44
136,151,82
109,121,55
106,115,52
105,85,58
117,97,70
135,115,88
117,97,70
125,105,78
144,124,97
149,128,99
136,115,86
140,119,90
102,76,51
100,74,47
80,54,27
117,91,66
99,73,46
98,72,45
121,97,71
109,85,59
124,100,74
183,167,131
172,156,120
176,160,124
93,77,41
109,93,57
148,132,96
96,80,44
90,74,38
85,71,34
79,69,44
66,56,31
61,51,26
66,56,31
59,49,24
61,51,26
58,48,23
57,47,22
62,52,27
111,95,61
101,86,53
92,77,44
191,168,134
100,81,49
85,66,34
185,152,119
103,76,46
72,47,16
139,116,82
174,155,122
133,118,85
173,149,113
159,137,98
178,156,115
143,123,90
141,119,80
154,130,86
232,209,133
224,198,123
242,213,135
230,202,128
240,211,133
227,196,116
165,131,60
230,198,121
245,216,136
248,223,157
238,213,146
254,231,155
254,230,158
226,202,128
218,196,113
243,220,140
232,210,127
229,208,117
101,99,58
182,183,141
86,93,52
183,167,116
182,165,113
140,126,79
137,117,66
210,185,131
215,192,140
106,87,54
123,103,76
159,138,111
161,141,114
108,87,66
158,136,115
144,125,108
93,74,60
146,129,109
234,206,133
216,184,109
219,186,109
210,176,102
234,198,122
213,177,99
199,167,92
227,195,118
207,178,102
167,109,71
149,121,73
90,67,59
217,153,109
187,131,108
122,73,58
203,164,121
173,128,73
153,110,68
166,168,84
173,168,76
182,178,87
131,131,61
201,194,104
164,158,70
83,82,18
159,151,66
168,162,78
81,57,29
179,155,91
110,72,59
110,77,42
136,109,66
22,0,14
223,173,162
152,122,60
147,130,76
136,92,45
170,132,67
201,172,92
99,35,25
100,39,34
215,169,107
129,85,74
116,78,67
168,142,93
158,170,146
145,157,135
153,165,145
110,123,97
155,167,145
136,148,128
130,143,115
164,176,152
142,154,132
237,241,244
238,242,245
242,246,249
233,237,240
235,239,242
240,244,247
235,239,242
236,240,243
239,243,246
249,253,252
248,252,251
246,250,249
248,252,251
240,244,243
231,235,234
243,247,246
242,246,245
242,246,245
214,228,203
204,218,192
189,203,177
217,233,207
198,214,187
192,208,181
189,204,181
178,194,168
172,188,162
188,198,161
129,139,102
125,135,98
191,202,162
148,159,119
74,85,45
99,110,70
