class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
background	hue	0.0022845096527256592	0.00283230143402186	0.0034845812431477914	0.004251525944522856	0.005141040626329094	0.006157694952995141	0.007301670842884521	0.008567828763132224	0.009945009723931824	0.0114156864719233	0.012956058358116442	0.014536649900897224	0.016123425618198173	0.01767937808956622	0.019166489156608433	0.020547913424352277	0.021790196382045525	0.02286532271103367	0.02375239736178359	0.024438793159217376	0.024920650922773097	0.025202685097130292	0.02529732115845894	0.02522326110703584	0.025003631199212718	0.02466390459433418	0.02422980657011096	0.02372540057403397	0.02317152215374221	0.02258468002130131	0.021976486198288177	0.021353618004067404	0.020718260699303253	0.02006893654442123	0.019401597521476632	0.018710846424948895	0.01799115381224082	0.017237954114198716	0.016448529618946064	0.015622622103797612	0.014762744645717396	0.013874197070774526	0.01296481482943795	0.012044500948077838	0.01112460321872711	0.010217203969182478	0.009334388377113341	0.008487550655578173	0.007686787110481663	0.00694041263293377	0.006254624028173304	0.005633320767042614	0.005078081997215788	0.004588288396149962	0.004161368923579254	0.003793145900087766	0.003478247264698955	0.0032105525333032117	0.0029836390478823827	0.0027911976113678765	0.0026273913672998322	0.002487138358144628	0.0023663058732432954	0.0022618126021037963	0.0021716418528648102	0.0020947749528568414	0.002031058001133707	0.0019810173584163676	0.001945639964863252	0.0019261343366576797	0.001923687527087755	0.0019392329146533502	0.0019732435569802254	0.002025565802169702	0.002095307323945001	0.0021807920168782813	0.0022795905896793047	0.002388629878705898	0.002504376033577162	0.0026230775636639533	0.0027410450779498776	0.002854937031665488	0.002962016554869189	0.0030603447763606134	0.0031488815939857847	0.0032274753194223176	0.0032967368567862697	0.003357810095625696	0.0034120655786684124	0.003460756764265981	0.003504685261721322	0.0035439219734203172	0.003577624853720877	0.0036039817972024317	0.003620290754118194	0.0036231709463790964	0.003608881679870829	0.0035737111931293665	0.00351438915853296	0.003428473934341152	0.003314669570258842	0.0031730370903878926	0.0030050781650348976	0.0028136849177331134	0.0026029651325576914	0.0023779655401311647	0.0021443256190512446	0.001907899521100351	0.001674384072940419	0.0014489867424589326	0.0012361599390299635	0.0010394183473203928	0.00086124560905852	0.0007030869199919892	0.0005654160949584964	0.0004478600903836748	0.0003493611534346924	0.00026835657982918865	0.00020295807235546127	0.00015111625431906667	0.00011076027961118728	7.990700346517507e-05	5.673827153944564e-05	3.964816587519096e-05	2.7264324888316488e-05	1.8448716892780125e-05	1.2283613287467584e-05	8.048182009530204e-06	5.1903397528963196e-06	3.297488380337178e-06	2.0687038968213475e-06	1.2899792514396037e-06	8.133239986192168e-07	5.399251902753677e-07	4.0716910727008403e-07	3.7908373085433014e-07	4.3964734527084366e-07	5.88378087851074e-07	8.376365634425834e-07	1.2111117687786755e-06	1.7430030325153417e-06	2.477451373227787e-06	3.4678155415761184e-06	4.775440669400117e-06	6.467644066090286e-06	8.614756136715079e-06	1.1286212865108917e-05	1.4545899066488786e-05	1.844717538911402e-05	2.3028259133156038e-05	2.8308828017150278e-05	3.428882624779663e-05	4.0950421099739855e-05	4.826384213890324e-05	5.619741187016636e-05	6.473145622994727e-05	7.38750168345977e-05	8.368346752721683e-05	9.42743950460757e-05	0.00010583858831316899	0.000118642842106702	0.00013302163850625626	0.00014935568515200354	0.00016803674243303095	0.0001894200451727098	0.00021376770530916452	0.00024118847992268138	0.0002715808715155853	0.0003045873713138258	0.00033956750523491037	0.0003755960631371015	0.00041149051850445804	0.00044586839660881294	0.00047723161550259046	0.0005040711219881882	0.0005249820379387328	0.0005387775378416377	0.0005445891702452097	0.0005419424684817827	0.000530799364459788	0.0005115627656585016	0.00048504312488850063	0.00045239126764804783	0.00041500549843960185	0.0003744235654627564	0.0003322111140655002	0.00028985774933581744	0.0002486899518410583	0.00020980723878539248	0.00017404463903889354	0.0001419612734300508	0.0001138520469082652	8.977747444180882e-05	6.960561722163845e-05	5.305997518441504e-05	3.976780998755449e-05	2.93045220024754e-05	2.1231111575375753e-05	1.5123175895990973e-05	1.0591140376326671e-05	7.292380829873582e-06	4.9365148074436124e-06	3.2854415770716216e-06	2.149745634998078e-06	1.382924080380393e-06	8.746323469857123e-07	5.438344763753106e-07	3.324452126628021e-07	1.997946161850772e-07	1.1804730988223007e-07	6.857018872048677e-08	3.9157946300692966e-08	2.198407545067884e-08	1.2133852689169437e-08	6.584002166825197e-09	3.512210317101363e-09	1.8419124201671934e-09	9.496290771751637e-10	4.813204236354186e-10	2.398327940416768e-10	1.1748315569580997e-10	5.657625614612604e-11	2.678447956665404e-11	1.2465838556038527e-11	5.703585657911791e-12	2.565438212450657e-12	1.1343869905482188e-12	4.931124829540842e-13	2.1072441620890998e-13	8.85251911607953e-14	3.655957272076516e-14	1.484282854655477e-14	5.923967558056574e-15	2.3242789837171238e-15	8.964840872988235e-16	3.399185332247332e-16	1.2670222281446879e-16	4.64269309342309e-17	1.672365909537517e-17	5.921987416704311e-18	2.0614735562003163e-18	7.054422314274966e-19	2.373109844533315e-19	7.847769499006678e-20	2.5512086263689653e-20	8.15298020303397e-21	2.5612786438350347e-21	7.909821046565912e-22	2.4012935217423665e-22	7.166250487243856e-23	2.1023559840655884e-23	6.06299853974601e-24	1.7188382870467683e-24	4.7901414680291025e-25	1.312281032816002e-25	3.5340280216889114e-26
Arbre	hue	5.537545208568256e-06	1.0887369923938111e-05	2.0573345266724697e-05	3.7391535741787774e-05	6.540420065323829e-05	0.00011016310774020007	0.00017875127890591987	0.00027949740962965954	0.0004212215256258203	0.0006119361744058392	0.0008570728317045785	0.0011575188609280634	0.001507982991030434	0.001896359646835103	0.002304721673893476	0.002712263198208645	0.003099963506605978	0.0034560970786661	0.0037812118270039593	0.004091070931733847	0.0044164222770150365	0.0047992574792594	0.005286210218643707	0.005920595798850781	0.006735020914587246	0.0077463419919232435	0.008954056335227485	0.010342185356432276	0.011883685517210533	0.013545749812737736	0.015294280610744162	0.017096345566823015	0.018920348338009037	0.02073457414966551	0.022505344442578255	0.02419605580580511	0.025767947529410272	0.027182765217132428	0.028406815081207196	0.029415407006008396	0.030196445829707593	0.03075198498667995	0.03109692399365654	0.03125469212177484	0.03125060807737951	0.0311044252068515	0.030824086274324602	0.03040267891132446	0.029819904585804916	0.029048170132372538	0.028062017180333604	0.02684847868493896	0.02541550525067288	0.02379602839715042	0.022046399300874424	0.02023946481115667	0.018453918722490067	0.01676239477506004	0.015220881649219344	0.013861521037921676	0.01268994244400228	0.011687278246150297	0.010816119727289773	0.01002905178007716	0.0092780850307	0.00852328057656524	0.00773910779700514	0.006917556796450058	0.006067687899768855	0.00521203422111714	0.004380915489079243	0.0036060905944355175	0.0029151519370905128	0.00232765876704438	0.0018533792967570556	0.0014924060294915845	0.0012365392066009898	0.001071284213897257	0.0009780079229121962	0.0009360730879438464	0.0009249480689273347	0.0009262918151743532	0.0009258818408155449	0.0009151059461559872	0.0008916964164418775	0.0008594966517509341	0.0008272682393923422	0.000806764753609864	0.0008104190552257408	0.0008489840255383534	0.0009293843862926864	0.001052970309179504	0.0012143714719971103	0.001401211833326987	0.0015949663022190917	0.0017731173650870863	0.0019124707882727068	0.0019930967095117967	0.0020020434746825847	0.0019358940840813474	0.0018014729844848558	0.0016144985331979008	0.0013965368467768037	0.001171042311877926	0.0009594309186387606	0.0007780047411785028	0.000636217933715673	0.0005363875506806781	0.00047463237342298064	0.0004426365533984293	0.00042978377798160214	0.0004252522605268191	0.0004197539169368777	0.0004067105278789793	0.0003827725164473376	0.00034769819956599347	0.0003037154342489601	0.0002545673795653472	0.0002044803952813344	0.00015727356044861312	0.00011576112240173957	8.150343898562514e-05	5.4869127876464625e-05	3.530763504712452e-05	2.1709918983497425e-05	1.2751640338357786e-05	7.152691870103811e-06	3.830486845985167e-06	1.958001662431033e-06	9.550998023022672e-07	4.444996632868889e-07	1.9733298049836927e-07	8.35525994465867e-08	3.3735435168485256e-08	1.298732696212721e-08	4.76659112495602e-09	1.6676473843462409e-09	5.561189752462561e-10	1.7675113817021338e-10	5.35372417727922e-11	1.5453298887075872e-11	4.250436244452997e-12	1.1139652174954156e-12	2.781743154032577e-13	6.618408035889863e-14	1.5002619700196402e-14	3.24000356212276e-15	6.666196008431498e-16	1.3066391152211458e-16	2.439889823057558e-17	4.340250784656288e-18	7.355013406768981e-19	1.18732862855635e-19	1.8258820736418193e-20	2.674760602006076e-21	3.732537124854091e-22	4.961665166564481e-23	6.2827869871792256e-24	7.578383740084998e-25	8.707597141211962e-26	9.530504764089425e-27	9.936373283942212e-28	9.868089707041115e-29	9.335345881436452e-30	8.412381421709496e-31	7.221009599631509e-32	5.9042756963854615e-33	4.598587783082826e-34	3.411701045418319e-35	2.4110468402884698e-36	1.623035935872941e-37	1.0407300674868595e-38	6.356751878359185e-40	3.6984466899832773e-41	2.0496995099906174e-42	1.0820506193097294e-43	5.4411581036179675e-45	2.606281741865337e-46	1.189152374446476e-47	5.16820437779291e-49	2.139576352033216e-50	8.43726634556552e-52	3.1692866602550095e-53	1.1339842497227208e-54	3.8648995320186524e-56	1.254743743489151e-57	3.880230054130991e-59	1.1429980401857065e-60	3.207148303745503e-62	8.571920263647155e-64	2.1823414632085836e-65	5.29240132525599e-67	1.2225547106623931e-68	2.6901053754672878e-70	5.638397952731117e-72	1.1257127645004631e-73	2.1408433062385294e-75	3.8781766702241755e-77	6.691996551934088e-79	1.0999406007620558e-80	1.7221388249883107e-82	2.5683397842548412e-84	3.648565886385993e-86	4.937161081952101e-88	6.363818540962434e-90	7.813464852753657e-92	9.138079264464766e-94	1.0180088643803029e-95	1.080273139962793e-97	1.091945528423132e-99	1.0513655621615214e-101	9.642549938083338e-104	8.423943030949126e-106	7.010101723218541e-108	5.556721013926877e-110	4.195640207655543e-112	3.017611022784347e-114	2.067348287343434e-116	1.3491163695717023e-118	8.3863029472674e-121	4.965660838225042e-123	2.800715087970544e-125	1.5046870381048904e-127	7.700320463267941e-130	3.753676055142012e-132	1.742970959099819e-134	7.709192366244856e-137	3.247977295630402e-139	1.3034742529007822e-141	4.982844103630637e-144	1.8144186976423968e-146	6.29336753861737e-149	2.0792851354336038e-151	6.54380534443096e-154	1.9616976209062992e-156	5.601690742678124e-159	1.5236722639527388e-161	3.947747482298468e-164	9.74299631849218e-167	2.2904514024750837e-169	5.129027110885674e-172	1.0940427125394377e-174	2.2228949053851467e-177	4.302183727305869e-180	7.931299426328112e-183	1.3927882952698865e-185	2.3297603017275835e-188	3.712126290928516e-191	5.634035966541582e-194	8.145201959283281e-197	1.1216812721599737e-199	1.4713718756036595e-202	1.838488010456819e-205	2.1881874523120705e-208	2.4808106321598396e-211	2.6790947636410847e-214
tronc	hue	0.0028537892734251283	0.0037923819291378375	0.004942905923119039	0.006319040012466828	0.007923883348053036	0.009746859714285325	0.011761285397266329	0.013923073338052058	0.016170991585460485	0.018428759256834452	0.020609056673248756	0.02261927242808127	0.024368546533401203	0.025775440160557703	0.026775411823613624	0.027327239097502284	0.02741760751490557	0.02706328528420471	0.026310584045190277	0.025232127201639903	0.023921258024769805	0.022484674006463274	0.021034039493720243	0.019677391334962914	0.018511116499567246	0.017613165357336993	0.017037996524002112	0.016813556913578716	0.016940407436705364	0.01739292697620937	0.018122374138511265	0.01906146230763634	0.020130011332461603	0.02124118167504359	0.022307777771001288	0.02324812999829586	0.023991129544613625	0.024480093093295942	0.024675263999602737	0.02455489761772682	0.024115012195236412	0.023367996028904974	0.02234033410394814	0.02106974844642272	0.01960203915573006	0.017987877236902677	0.016279748923920787	0.014529196866829451	0.012784455695840602	0.011088542474007881	0.009477835962542827	0.007981158702335905	0.0066193578850520535	0.005405361209929632	0.004344661279838734	0.003436158244898415	0.0026732690248222587	0.0020451968089966093	0.0015382500425191437	0.0011371071885876566	0.0008259412794234008	0.0005893436412675079	0.00041301498909312263	0.0002842199282248012	0.00019202411050564953	0.00012734956129730794	8.289225898049188e-05	5.294752417442796e-05	3.318472928605523e-05	2.0405280767329083e-05	1.2308744516665581e-05	7.283012746283604e-06	4.226660542521137e-06	2.405684918072578e-06	1.3427778650729166e-06	7.349625400161861e-07	3.9445338270962607e-07	2.0757331027294436e-07	1.0709529968159403e-07	5.4171610437218494e-08	2.6863113858017916e-08	1.3058893554260173e-08	6.223077035167216e-09	2.906947301923963e-09	1.33102963456126e-09	5.973696642575277e-10	2.6277895526867255e-10	1.1329684856144559e-10	4.787551428178415e-11	1.9827439404936678e-11	8.047614097596817e-12	3.2011447695931947e-12	1.2478776155348453e-12	4.767146629181292e-13	1.7846647611523799e-13	6.547245462602521e-14	2.3537322311156562e-14	8.291726029256257e-15	2.86230333453044e-15	9.681951448958699e-16	3.209081229675811e-16	1.0422296640357655e-16	3.316696234929105e-17	1.0341949954416152e-17	3.1597215800058186e-18	9.458892466424749e-19	2.7744220373399724e-19	7.97336113101012e-20	2.2451385165274268e-20	6.1940395544375674e-21	1.6742891575308532e-21	4.434139247280983e-22	1.15055518880901e-22	2.9249733345020704e-23	7.285341558663355e-24	1.7778243477385978e-24	4.250462872387851e-25	9.9561104588924e-26	2.2847941299861117e-26	5.136960676037147e-27	1.1315278137715413e-27	2.4418680329660053e-28	5.162681711420413e-29	1.0693578439995068e-29	2.1700200710535193e-30	4.314157033499649e-31	8.40268848468393e-32	1.6033538553140434e-32	2.9972851640125707e-33	5.489251736400575e-34	9.848804872000373e-35	1.7311638873953114e-35	2.981097118125898e-36	5.02917138525241e-37	8.311860608749265e-38	1.3458007178544147e-38	2.1347311145616973e-39	3.317300402938376e-40	5.050157680367537e-41	7.531872315123274e-42	1.1004700557201709e-42	1.5751800829788165e-43	2.208810001410958e-44	3.0343255272357004e-45	4.0835809538726885e-46	5.38387428306319e-47	6.953812444584153e-48	8.798830714858827e-49	1.0906879278041116e-49	1.3244917425171272e-50	1.57569036512193e-51	1.8363906360226223e-52	2.0966770139367045e-53	2.3451466106830652e-54	2.5696868683974388e-55	2.758429643629135e-56	2.900780643062055e-57	2.9884013407518517e-58	3.016017179601393e-59	2.9819431809416146e-60	2.8882541289610232e-61	2.740575428430155e-62	2.5475239527679704e-63	2.319876169581681e-64	2.0695751578005946e-65	1.808703343717426e-66	1.54854238334761e-67	1.298818157027269e-68	1.0671930706430911e-69	8.590272283645095e-71	6.773919852242392e-72	5.232898101748807e-73	3.9601671471061084e-74	2.9359840328518745e-75	2.132370769589549e-76	1.5171919831861387e-77	1.0575163201782949e-78	7.22108197410117e-80	4.830433086920239e-81	3.1654715070509237e-82	2.0321662652657077e-83	1.278051952287261e-84	7.874195148262517e-86	4.7526101526989935e-87	2.810130703251745e-88	1.6277553117990153e-89	9.236766369303523e-91	5.134746399936878e-92	2.79631575654505e-93	1.4918376423293755e-94	7.796954947752138e-96	3.9920555343358656e-97	2.0023324446609986e-98	9.838838505085414e-100	4.7360850746647185e-101	2.233382724859252e-102	1.0317507307474562e-103	4.669327915675213e-105	2.0701504210976622e-106	8.991193730502507e-108	3.825610189647866e-109	1.594600769791008e-110	6.5113509482854855e-112	2.604702370459717e-113	1.0207348968836059e-114	3.9186426825554247e-116	1.4737580843477562e-117	5.429809091840598e-119	1.95979540500617e-120	6.929544942484574e-122	2.4003053564771416e-123	8.145093289778876e-125	2.707655542285674e-126	8.81776542978243e-128	2.813140598468937e-129	8.79208946653928e-131	2.6919098827069844e-132	8.074147659632437e-134	2.37246932324686e-135	6.829238285631279e-137	1.9258021422167475e-138	5.320087787179738e-140	1.439771796883723e-141	3.8171238566457443e-143	9.913946363797239e-145	2.522461798109246e-146	6.287389235007746e-148	1.535266630344686e-149	3.672526894397696e-151	8.606248221739208e-153	1.9757430233090522e-154	4.443393241877532e-156	9.789640530788602e-158	2.1129364728895412e-159	4.467595373765662e-161	9.253987775380558e-163	1.87781024820433e-164	3.732864118984801e-166	7.2694298389376e-168	1.3868395149084315e-169	2.591909027928759e-171	4.745489196283379e-173	8.511574604670426e-175	1.495569213893424e-176	2.574369062474477e-178	4.341129906193658e-180	7.171375102601139e-182	1.1605658251098587e-183	1.8399448151797444e-185	2.857639876045223e-187	4.347883280765636e-189	6.480610724944002e-191	9.46284380685175e-193	1.3536147742365424e-194	1.8968639254228412e-196	2.6040237751897886e-198
background	saturation	0.0014373980847200902	0.001538490724615541	0.0016402368740423114	0.0017422363246881213	0.0018441406538235098	0.001945660548339771	0.0020465700309106696	0.0021467073843088763	0.0022459727630990945	0.002344322678998374	0.002441761733724367	0.0025383321382383213	0.002634101688561943	0.002729150956875425	0.0028235604965915363	0.0029173988493114006	0.003010712081443868	0.0031035154737415406	0.0031957878460080547	0.0032874688319907332	0.0033784592376324327	0.0034686244315222654	0.003557800541189133	0.003645803073145831	0.0037324374466554244	0.003817510836963154	0.003900844666478938	0.003982287062752131	0.0040617246183173835	0.004139092835903586	0.004214384717930129	0.004287657055624799	0.004359034084113988	0.00442870828924737	0.004496938274060923	0.004564043712795938	0.004630397534352677	0.004696415581978168	0.004762544089720897	0.004829245397255246	0.004896982392076602	0.004966202221045903	0.005037319851152104	0.005110702081446955	0.005186652613560813	0.005265398776098574	0.005347080467579061	0.005431741832562185	0.005519326115632077	0.005609674047885439	0.005702526011126311	0.0057975280976007865	0.005894242040385238	0.0059921588352026215	0.006090715713419213	0.006189315964357869	0.006287350949950131	0.0063842235139922555	0.006479371870129986	0.006572292965394613	0.006662564267308374	0.0067498629188002535	0.006833981251242017	0.006914837744389673	0.0069924826727369655	0.007067097877545402	0.007138990346200267	0.007208579556013773	0.007276378835786881	0.0073429713007004405	0.007408981208267224	0.007475041848399933	0.007541761302890301	0.0076096875741020545	0.007679274677468988	0.007750851309064174	0.007824593633987307	0.007900503594282312	0.007978393912106535	0.008057880675151684	0.008138384051212639	0.008219137304944097	0.008299203902082847	0.008377502105583643	0.008452836114763338	0.008523932491661633	0.008589480374698904	0.008648173810979265	0.008698754453522198	0.008740052871793125	0.008771026811714964	0.008790794908715809	0.008798664593854987	0.008794153224628395	0.008777001801928776	0.008747180984373536	0.008704889461749566	0.008650545082092771	0.00858476942489784	0.00850836676161471	0.008422298532688997	0.008327654590573032	0.008225622507219482	0.008117456223727013	0.008004445234320832	0.00788788535569097	0.007769051947859569	0.007649176238329264	0.0075294251725424996	0.007410884985993606	0.007294548481041665	0.007181305806993393	0.007071938395051407	0.006967115596644598	0.0068673935172665354	0.006773215527427382	0.006684913963518557	0.006602712597322595	0.006526729544502042	0.006456980389351926	0.0063933814147376115	0.00633575293232941	0.006283822800153436	0.006237230285178502	0.006195530473534883	0.006158199447882826	0.006124640440726865	0.006094191136611343	0.006066132239428173	0.0060396973490940585	0.006014084110904695	0.005988466517406868	0.005962008162772822	0.00593387617880439	0.005903255524199901	0.0058693632577543646	0.0058314624036588	0.005788875013748418	0.005740994047077859	0.005687293720320801	0.005627338031217618	0.005560787219089592	0.005487401998359483	0.0054070454798443865	0.005319682776914984	0.005225378375940581	0.005124291429232816	0.005016669200493657	0.004902838954266069	0.0047831986290823554	0.004658206666375955	0.004528371381881832	0.0043942402621385875	0.004256389545744382	0.004115414408227707	0.003971920012930419	0.003826513621416714	0.003679797879822216	0.003532365317159039	0.003384794013199813	0.0032376443224812774	0.0030914564820859114	0.002946748888246865	0.0028040168033682225	0.0026637312522045484	0.0025263378835486483	0.0023922556100714793	0.002261874890696897	0.002135555582608963	0.002013624358364157	0.0018963717518983578	0.0017840489598449187	0.0016768645764367813	0.0015749814772450352	0.001478514086295985	0.001387526261392199	0.0013020300139837428	0.001221985244422806	0.0011473006239004204	0.0010778356947988444	0.0010134041961919263	0.0009537785555800075	0.0008986954262454926	0.0008478620958927054	0.0008009635496852145	0.0007576699415833198	0.000717644213072142	0.0006805495979242633	0.0006460567645475709	0.0006138503719185868	0.0005836348487162288	0.0005551392453552132	0.0005281210524037498	0.0005023689237310312	0.0004777042863534868	0.00045398185944950305	0.00043108914098838146	0.000408944950953857	0.0003874971447602402	0.0003667196290514504	0.0003466088248058485	0.00032717972988961926	0.00030846173535222356	0.0002904943473153875	0.0002733229597402032	0.00025699481310869916	0.00024155526055030398	0.0002270444466031943	0.0002134944850748452	0.0002009272018559859	0.0001893524866174876	0.00017876727472403975	0.00016915515813845463	0.00016048660231031972	0.00015271972578709207	0.00014580158125527322	0.00013966986152558918	0.00013425494210140263	0.00012948216373706125	0.0001252742539507213	0.00012155378577739453	0.00011824557494534452	0.00011527892281253844	0.00011258962139286912	0.00011012164815995783	0.0001078284915450872	0.0001056740626615655	0.00010363316433879548	0.00010169150462490043	9.984525814528191e-05	9.810019474130675e-05	9.647041032263598e-05	9.49767095013946e-05	9.364470296072676e-05	9.250269422990782e-05	9.157944014077464e-05	9.09018762490286e-05	9.049290244440391e-05	9.036932441157883e-05	9.054004319153737e-05	9.100457761978687e-05	9.175199285609656e-05	9.276029276563949e-05	9.399631500649613e-05	9.541614601978148e-05	9.69660496401752e-05	9.858387887918564e-05	0.00010020091685239871	0.00010174407115674683	0.00010313832755548835	0.00010430935477191544	0.00010518614348389894	0.00010570355990679155	0.00010580469794754044	0.00010544292370717565	0.0001045835215990598
Arbre	saturation	0.00017845112583427992	0.00020213539072570503	0.00022827465843965324	0.0002570237486547443	0.0002885344751403041	0.00032295395326076124	0.000360422883944698	0.00040107385390658536	0.0004450296953127582	0.0004924019503221945	0.0005432894867694953	0.0005977773104841406	0.0006559356171921302	0.0007178191225159143	0.0007834667022377217	0.0008529013667613986	0.0009261305837275167	0.0010031469512265295	0.001083929211327997	0.0011684435801011092	0.0012566453564225608	0.0013484807581966992	0.0014438889217407037	0.0015428039886286916	0.001645157194855009	0.001750878870349357	0.001859900253175087	0.0019721550225972116	0.0020875804589313603	0.002206118145850395	0.002327714142642273	0.002452318569617587	0.002579884569115	0.002710366626826659	0.0028437182627763942	0.0029798891273958303	0.0031188215648024244	0.0032604467315480038	0.003404680383690985	0.003551418466964252	0.00370053266302542	0.0038518660583435615	0.004005229110393976	0.00416039608788006	0.004317102157276228	0.004475041276929904	0.00463386504237753	0.004793182602790728	0.0049525617392081325	0.005111531161305498	0.005269584042007438	0.005426182769523109	0.005580764855799562	0.005732749900410545	0.005881547471031422	0.006026565727343307	0.006167220585806458	0.006302945199424982	0.006433199510358384	0.006557479624727682	0.0066753267586322435	0.006786335512343961	0.0068901612456658936	0.0069865263510091044	0.007075225251038306	0.007156127983689396	0.007229182277679798	0.007294414064864213	0.007351926420380447	0.007401896965892892	0.007444573813813591	0.007480270169695617	0.007509357744735258	0.0075322591593785125	0.007549439541540269	0.007561397538325816	0.007568655968103814	0.007571752340326534	0.0075712294639260925	0.007567626352000773	0.007561469611643261	0.00755326548414236	0.007543492673540432	0.007532596071862513	0.007520981458488665	0.007509011220327447	0.007497001109791839	0.007485218030078823	0.007473878812742682	0.007463149931670294	0.007453148080744314	0.0074439415299319455	0.007435552166268442	0.007427958122026736	0.007421096891919715	0.0074148688439738715	0.007409141034144998	0.007403751242159148	0.007398512154773027	0.007393215631990441	0.007387637001127628	0.007381539332450353	0.007374677657969296	0.007366803101552772	0.007357666893593696	0.007347024246970328	0.007334638073001683	0.0073202825166555595	0.007303746289642225	0.007284835778507462	0.0072633779027557275	0.00723922269573959	0.007212245578897188	0.0071823492982383275	0.0071494654910697	0.007113555851061443	0.007074612861084833	0.0070326600659276475	0.006987751861089341	0.006939972779380716	0.0068894362639512876	0.0068362829245373555	0.006780678283011818	0.006722810024527416	0.0066628847814467745	0.006601124488581965	0.006537762359734661	0.006473038546824761	0.006407195553693584	0.006340473486628878	0.00627310523243807	0.006205311662150109	0.006137296963820774	0.006069244211137184	0.006001311275281628	0.005933627185584601	0.005866289039692951	0.00579935955619508	0.005732865351862017	0.005666796011960013	0.005601104005653807	0.005535705479649057	0.005470481942329513	0.0054052828282484125	0.005339928909549317	0.005274216497413058	0.005207922353704103	0.005140809211399082	0.005072631782897071	0.005003143118673231	0.004932101165611939	0.004859275365306973	0.004784453128077362	0.004707446018694651	0.00462809549495458	0.004546278050174815	0.004461909625198961	0.004374949174099172	0.004285401289900812	0.004193317821574823	0.004098798440426091	0.004001990141952056	0.0039030856973299253	0.003802321095999551	0.0036999720464785213	0.003596349625796459	0.0034917951881015493	0.003386674659544384	0.003281372359105647	0.0031762844933868038	0.003071812477467511	0.002968356233840614	0.0028663076173912213	0.0027660441067315863	0.0026679228913706614	0.0025722754706840687	0.002479402864993634	0.0023895715218168554	0.002303009982048325	0.0022199063520030714	0.0021404066083600013	0.0020646137445148693	0.001992587749052296	0.0019243463902835572	0.0018598667653239916	0.001799087558203579	0.0017419119391757344	0.0016882110268356643	0.0016378278259745888	0.001590581547350215	0.001546272210798017	0.0015046854303755188	0.0014655972795381148	0.0014287791356846135	0.0013940024067533121	0.0013610430478345657	0.0013296857828971474	0.0012997279555659502	0.0012709829432556686	0.0012432830806301362	0.0012164820510452514	0.0011904567180276878	0.0011651083825892142	0.001140363465899067	0.0011161736301428188	0.0010925153628955657	0.0010693890616574559	0.0010468176650023614	0.0010248448847878472	0.0010035330998436668	0.000982960975351322	0.0009632208736899387	0.0009444161218867225	0.0009266581980992904	0.00091006389498677	0.0008947525116919764	0.000880843118821246	0.0008684519326859754	0.0008576898266064971	0.000848659998730211	0.0008414558080240421	0.00083615878327213	0.0008328368043907096	0.000831542451433405	0.0008323115144780547	0.0008351616572321967	0.0008400912286287048	0.000847078219754299	0.0008560793679039444	0.0008670294150307671	0.0008798405339333255	0.0008944019417028116	0.0009105797257244361	0.0009282169123700276	0.0009471338119402629	0.0009671286749792443	0.0009879786944398147	0.0010094413850817077	0.0010312563658203548	0.0010531475625360509	0.001074825838271413	0.0010959920451038482	0.0011163404777274808	0.0011355626934806311	0.0011533516478674742	0.0011694060792643093	0.0011834350622169723	0.0011951626362602036	0.0012043324072069442	0.0012107120109641695	0.001214097326611308	0.0012143163260595533	0.001211232452259638	0.0012047474266253715	0.0011948033988903393	0.0011813843686376325
