background	Arbre	tronc
169,189,117	71,85,70
172,192,120	90,104,91
160,177,106	56,67,51
162,182,110	67,79,65
166,186,114	82,96,83
172,159,104	61,71,60
180,167,112	65,75,64
187,172,117	69,80,66
198,183,128	62,72,63
184,169,114	62,72,63
180,163,109	63,73,62
185,172,117	66,76,68
182,167,112	62,72,63
185,170,115	58,68,59
95,67,43	116,145,53
116,88,64	122,151,59
109,81,57	111,140,47
66,40,15	125,154,62
133,107,82	127,156,64
140,114,89	105,134,41
128,102,77	119,148,56
119,93,68	115,144,52
115,89,64	108,137,44
167,179,113	32,33,25
148,158,97	29,31,20
95,103,44	30,32,21
159,174,107	31,32,24
126,138,74	29,31,20
96,104,44	31,33,22
136,151,82	29,30,22
109,121,55	32,34,23
106,115,52	33,35,24
105,85,58	93,123,25
117,97,70	110,140,42
135,115,88	124,151,58
117,97,70	121,151,55
125,105,78	126,156,60
144,124,97	128,155,62
149,128,99	126,155,62
136,115,86	123,154,60
140,119,90	119,148,56
102,76,51	9,20,12
100,74,47	1,12,4
80,54,27	1,11,3
117,91,66	0,9,4
99,73,46	0,3,0
98,72,45	0,5,1
121,97,71	0,9,6
109,85,59	0,3,0
124,100,74	0,2,0
183,167,131	26,29,12
172,156,120	28,31,12
176,160,124	30,33,16
93,77,41	29,32,15
109,93,57	30,33,14
148,132,96	30,33,16
96,80,44	38,41,24
90,74,38	36,39,20
85,71,34	33,36,19
79,69,44	73,109,61
66,56,31	103,140,97
61,51,26	83,116,73
66,56,31	64,100,54
59,49,24	49,88,43
61,51,26	54,94,44
58,48,23	56,93,41
57,47,22	37,75,28
62,52,27	66,105,58
111,95,61	121,122,90
101,86,53	60,33,12
92,77,44	66,52,15
191,168,134	48,38,11
100,81,49	78,54,30
85,66,34	168,153,112
185,152,119	116,95,68
103,76,46	67,46,15
72,47,16	154,136,100
139,116,82	84,121,77
174,155,122	87,124,80
133,118,85	65,102,59
173,149,113	91,127,83
159,137,98	92,127,85
178,156,115	62,97,55
143,123,90	96,129,86
141,119,80	117,149,108
154,130,86	100,135,93
232,209,133	50,87,53
224,198,123	68,100,51
242,213,135	68,100,51
230,202,128	64,99,43
240,211,133	60,92,45
227,196,116	62,94,45
165,131,60	122,155,98
230,198,121	80,112,65
245,216,136	67,99,52
248,223,157	175,218,162
238,213,146	179,223,164
254,231,155	122,163,105
254,230,158	93,136,80
226,202,128	94,138,79
218,196,113	139,180,122
243,220,140	81,124,68
232,210,127	86,130,71
229,208,117	97,138,78
101,99,58	176,212,140
182,183,141	163,199,127
86,93,52	140,176,106
183,167,116	168,204,132
182,165,113	193,229,157
140,126,79	118,154,84
137,117,66	176,212,140
210,185,131	196,232,160
215,192,140	143,179,109
106,87,54	188,220,157
123,103,76	164,196,131
159,138,111	187,219,154
161,141,114	156,186,122
108,87,66	143,173,109
158,136,115	193,223,159
144,125,108	147,178,111
93,74,60	140,171,104
146,129,109	215,245,181
234,206,133	179,178,130
216,184,109	197,197,147
219,186,109	223,223,171
210,176,102	216,214,165
234,198,122	214,212,161
213,177,99	214,213,157
199,167,92	215,214,166
227,195,118	203,203,149
207,178,102	202,203,145
167,109,71	179,178,130
149,121,73	197,197,147
90,67,59	223,223,171
217,153,109	216,214,165
187,131,108	214,212,161
122,73,58	214,213,157
203,164,121	215,214,166
173,128,73	203,203,149
153,110,68	202,203,145
166,168,84	75,86,78
173,168,76	79,90,82
182,178,87	84,96,86
131,131,61	79,88,83
201,194,104	82,92,84
164,158,70	76,88,78
83,82,18	74,84,76
159,151,66	68,78,70
168,162,78	58,70,58
81,57,29	75,116,54
179,155,91	94,135,71
110,72,59	102,144,75
110,77,42	59,100,40
136,109,66	88,132,67
22,0,14	86,133,63
223,173,162	64,100,49
152,122,60	85,123,66
147,130,76	64,105,47
136,92,45	53,74,55
170,132,67	55,71,60
201,172,92	10,29,11
99,35,25	35,58,35
100,39,34	55,71,57
215,169,107	18,36,19
129,85,74	44,67,43
116,78,67	28,45,28
168,142,93	29,46,341
58,170,146
145,157,135
153,165,145
110,123,97
155,167,145
136,148,128
130,143,115
164,176,152
142,154,132
237,241,244
238,242,245
242,246,249
233,237,240
235,239,242
240,244,247
235,239,242
236,240,243
239,243,246
249,253,252
248,252,251
246,250,249
248,252,251
240,244,243
231,235,234
243,247,246
242,246,245
242,246,245
214,228,203
204,218,192
189,203,177
217,233,207
198,214,187
192,208,181
189,204,181
178,194,168
172,188,162
188,198,161
129,139,102
125,135,98
191,202,162
148,159,119
74,85,45
99,110,70
151,162,122
127,138,98
174,183,138
172,181,138
170,181,138
173,182,135
169,181,135
167,179,133
170,182,132
168,180,132
164,176,128
201,185,170
201,185,170
201,185,170
201,185,170
201,185,170
201,185,170
200,184,169
201,185,170
201,185,170
173,154,124
172,152,125
172,153,123
174,152,128
173,151,127
174,152,128
172,152,128
173,153,129
173,153,129
184,182,169
184,182,169
184,182,169
183,181,168
183,181,168
183,181,168
183,180,165
183,180,165
182,179,164
202,202,132
197,197,127
192,191,124
213,213,143
206,206,136
196,195,128
211,211,141
217,217,147
201,200,133
211,205,131
197,191,113
160,154,76
203,196,124
210,204,126
184,178,100
186,179,107
189,183,107
189,183,107
173,181,96
185,193,108
191,199,116
174,183,94
170,176,86
164,170,82
173,179,89
172,179,86
182,188,100
34,34,22
37,37,25
45,45,33
36,36,24
43,43,31
53,53,41
54,51,42
56,53,44
55,52,43
74,66,53
65,58,42
65,58,42
68,60,49
63,55,42
61,53,40
49,43,31
53,47,35
54,48,36
66,61,55
70,63,55
65,58,50
73,66,58
78,71,63
71,64,54
69,60,51
87,78,69
91,83,72
141,168,91
113,141,66
79,109,39
89,105,42
46,63,9
78,96,48
113,121,70
26,29,0
35,41,15
132,169,76
103,132,39
122,150,66
120,154,67
136,163,56
132,154,82
123,161,58
122,159,63
138,169,101
249,199,150
169,117,70
158,106,58
224,173,128
185,134,87
172,121,74
187,136,93
167,116,71
180,132,83
246,219,166
253,225,175
254,228,177
249,219,167
255,229,176
255,232,182
243,213,159
240,210,158
242,212,160
255,227,163
249,219,155
250,216,155
228,200,137
226,196,134
236,204,145
224,189,125
218,180,118
216,180,118
93,94,88
99,100,94
103,104,98
89,90,82
91,92,84
95,96,88
80,81,73
82,83,75
86,87,79
251,216,160
244,205,148
232,193,138
252,217,163
249,210,155
236,197,142
249,217,160
249,212,157
240,201,144
98,99,91
97,98,90
82,83,75
101,102,94
90,91,83
89,90,82
102,102,94
78,78,70
77,77,69
133,162,78
142,173,80
160,192,95
86,112,38
155,182,105
164,191,110
56,82,8
106,132,58
165,192,115
166,145,116
187,166,137
207,186,157
159,143,110
177,158,126
213,192,163
192,173,141
202,183,151
199,178,149
171,156,127
202,187,158
193,178,149
210,195,164
211,196,165
189,174,143
201,184,154
209,192,162
209,192,162
148,149,79
115,116,59
189,187,146
171,177,91
146,154,69
134,139,72
156,163,57
165,180,75
184,198,103
129,131,81
116,119,64
96,101,47
83,89,41
111,114,67
64,68,18
106,120,67
119,132,86
78,88,36
